Sequence,Best Hit,e-value,Identities,Gaps,Identities_info,Gaps_info
hybrid.SPGP0CV00100,parentB.XP_018222858.1,0.0,99,0, Identities = 1692/1712 (99%), Gaps = 0/1712 (0%)
hybrid.SPGP0CX00110,parentB.XP_018223418.1,1e-122,82,2, Identities = 423/514 (82%), Gaps = 10/514 (2%)
hybrid.SPGP0CY00100,parentB.XP_018222487.1,0.0,90,0, Identities = 826/913 (90%), Gaps = 0/913 (0%)
hybrid.SPGP0CY00110,parentB.XP_018222596.1,1e-165,99,0, Identities = 319/322 (99%), Gaps = 0/322 (0%)
hybrid.SPGP0CZ00100,parentB.XP_018222854.1,0.0,98,0, Identities = 1786/1821 (98%), Gaps = 0/1821 (0%)
hybrid.SPGP0DA00100,parentB.XP_018224052.1,0.0,81,0, Identities = 1014/1254 (81%), Gaps = 0/1254 (0%)
hybrid.SPGP0DC00100,parentB.XP_018218969.1,3e-158,90,0, Identities = 386/429 (90%), Gaps = 0/429 (0%)
hybrid.SPGP0DCtrna6C,parentB.DI49_5567,2e-32,100,0, Identities = 72/72 (100%), Gaps = 0/72 (0%)
hybrid.SPGP0DD00100,parentB.XP_018223426.1,0.0,84,0, Identities = 647/771 (84%), Gaps = 2/771 (0%)
hybrid.SPGP0J00100,parentB.XP_018218768.1,9e-131,77,1, Identities = 653/852 (77%), Gaps = 8/852 (1%)
hybrid.SPGP0J00110,parentB.XP_018223320.1,0.0,82,1, Identities = 1426/1731 (82%), Gaps = 13/1731 (1%)
hybrid.SPGP0J00130,parentB.XP_018223319.1,0.0,81,1, Identities = 1500/1857 (81%), Gaps = 23/1857 (1%)
hybrid.SPGP0J00140,parentB.XP_018223318.1,0.0,80,2, Identities = 1143/1431 (80%), Gaps = 23/1431 (2%)
hybrid.SPGP0J00160,parentB.XP_018223316.1,0.0,83,1, Identities = 721/865 (83%), Gaps = 7/865 (1%)
hybrid.SPGP0J00180,parentB.XP_018223314.1,0.0,80,1, Identities = 1171/1459 (80%), Gaps = 11/1459 (1%)
hybrid.SPGP0J00190,parentB.XP_018223313.1,0.0,82,0, Identities = 1055/1285 (82%), Gaps = 2/1285 (0%)
hybrid.SPGP0J00230,parentB.XP_018223309.1,0.0,84,0, Identities = 1244/1474 (84%), Gaps = 2/1474 (0%)
hybrid.SPGP0J00240,parentB.XP_018223308.1,6e-110,83,0, Identities = 365/441 (83%), Gaps = 0/441 (0%)
hybrid.SPGP0J00250,parentB.XP_018223307.1,0.0,83,1, Identities = 2182/2632 (83%), Gaps = 19/2632 (1%)
