Sequence,Best Hit,e-value,Identities,Gaps,Identities_info,Gaps_info
hybrid.SPGP0CX00100,parentA.YCR045C,0.0,100,0, Identities = 555/555 (100%), Gaps = 0/555 (0%)
hybrid.SPGP0CX00110,parentA.YCR046C,0.0,99,0, Identities = 507/510 (99%), Gaps = 0/510 (0%)
hybrid.SPGP0CX00120,parentA.YCR047C,0.0,99,0, Identities = 825/828 (99%), Gaps = 0/828 (0%)
hybrid.SPGP0CZ00100,parentA.YOL158C,0.0,88,0, Identities = 1604/1821 (88%), Gaps = 0/1821 (0%)
hybrid.SPGP0DA00100,parentA.YAL061W,0.0,99,0, Identities = 1243/1254 (99%), Gaps = 0/1254 (0%)
hybrid.SPGP0DB00100,parentA.YPL273W,2e-178,99,0, Identities = 338/339 (99%), Gaps = 0/339 (0%)
hybrid.SPGP0DC00100,parentA.YPL061W,0.0,99,0, Identities = 428/429 (99%), Gaps = 0/429 (0%)
hybrid.SPGP0DC00110,parentA.YPL060W,0.0,99,0, Identities = 1240/1242 (99%), Gaps = 0/1242 (0%)
hybrid.SPGP0DD00100,parentA.YCR059C,0.0,99,0, Identities = 774/777 (99%), Gaps = 0/777 (0%)
hybrid.SPGP0DD00110,parentA.YCR060W,5e-154,100,0, Identities = 292/292 (100%), Gaps = 0/292 (0%)
hybrid.SPGP0J00100,parentA.YBR297W,0.0,97,0, Identities = 834/856 (97%), Gaps = 1/856 (0%)
hybrid.SPGP0J00110,parentA.YBR296C,0.0,99,0, Identities = 1723/1725 (99%), Gaps = 0/1725 (0%)
hybrid.SPGP0J00120,parentA.YBR295W,0.0,99,0, Identities = 3641/3651 (99%), Gaps = 0/3651 (0%)
hybrid.SPGP0J00130,parentA.YBR294W,0.0,99,0, Identities = 1850/1851 (99%), Gaps = 0/1851 (0%)
hybrid.SPGP0J00140,parentA.YBR293W,0.0,99,0, Identities = 1422/1425 (99%), Gaps = 0/1425 (0%)
hybrid.SPGP0J00150,parentA.YBR291C,0.0,99,0, Identities = 899/900 (99%), Gaps = 0/900 (0%)
hybrid.SPGP0J00160,parentA.YBR290W,0.0,100,0, Identities = 933/933 (100%), Gaps = 0/933 (0%)
hybrid.SPGP0J00170,parentA.YBR289W,0.0,98,2, Identities = 2687/2751 (98%), Gaps = 42/2751 (2%)
hybrid.SPGP0J00180,parentA.YBR288C,0.0,99,0, Identities = 1449/1452 (99%), Gaps = 0/1452 (0%)
hybrid.SPGP0J00190,parentA.YBR287W,0.0,99,0, Identities = 1281/1284 (99%), Gaps = 0/1284 (0%)
hybrid.SPGP0J00200,parentA.YBR286W,0.0,99,0, Identities = 1612/1614 (99%), Gaps = 0/1614 (0%)
hybrid.SPGP0J00210,parentA.YBR285W,0.0,100,0, Identities = 435/435 (100%), Gaps = 0/435 (0%)
hybrid.SPGP0J00220,parentA.YBR284W,0.0,99,0, Identities = 2384/2394 (99%), Gaps = 0/2394 (0%)
hybrid.SPGP0J00230,parentA.YBR283C,0.0,99,0, Identities = 1468/1473 (99%), Gaps = 0/1473 (0%)
hybrid.SPGP0J00240,parentA.YBR282W,0.0,99,0, Identities = 438/441 (99%), Gaps = 0/441 (0%)
hybrid.SPGP0J00250,parentA.YBR281C,0.0,99,0, Identities = 2636/2637 (99%), Gaps = 0/2637 (0%)
hybrid.SPGP0J00260,parentA.YBR280C,0.0,99,0, Identities = 1911/1914 (99%), Gaps = 0/1914 (0%)
