Sequence,Best Hit,e-value,Identities,Gaps,Identities_info,Gaps_info
parentB.XP_018224050.1,hybrid.SPGP0P00100,0.0,83,1, Identities = 557/668 (83%), Gaps = 5/668 (1%)
parentB.XP_018224051.1,hybrid.SPGP0AI00100,0.0,99,0, Identities = 1366/1374 (99%), Gaps = 0/1374 (0%)
parentB.XP_018224052.1,hybrid.SPGP0AI00110,0.0,99,0, Identities = 1246/1254 (99%), Gaps = 0/1254 (0%)
parentB.XP_018224053.1,hybrid.SPGP0AI00120,0.0,99,0, Identities = 1143/1149 (99%), Gaps = 0/1149 (0%)
parentB.XP_018224054.1,hybrid.SPGP0AI00130,0.0,99,0, Identities = 574/576 (99%), Gaps = 0/576 (0%)
parentB.XP_018224055.1,hybrid.SPGP0AI00140,0.0,99,0, Identities = 1495/1503 (99%), Gaps = 0/1503 (0%)
parentB.XP_018224056.1,hybrid.SPGP0AI00150,0.0,99,0, Identities = 2656/2661 (99%), Gaps = 0/2661 (0%)
parentB.XP_018224057.1,hybrid.SPGP0AI00160,0.0,100,0, Identities = 537/537 (100%), Gaps = 0/537 (0%)
parentB.XP_018224058.1,hybrid.SPGP0AI00170,0.0,99,0, Identities = 2128/2142 (99%), Gaps = 0/2142 (0%)
parentB.XP_018224059.1,hybrid.SPGP0AI00180,0.0,99,0, Identities = 2349/2361 (99%), Gaps = 0/2361 (0%)
parentB.XP_018224060.1,hybrid.SPGP0AI00190,0.0,99,0, Identities = 3131/3138 (99%), Gaps = 0/3138 (0%)
parentB.XP_018224061.1,hybrid.SPGP0AI00200,0.0,99,0, Identities = 738/741 (99%), Gaps = 0/741 (0%)
parentB.XP_018224062.1,hybrid.SPGP0AI00210,0.0,99,0, Identities = 1970/1977 (99%), Gaps = 0/1977 (0%)
parentB.XP_018224063.1,hybrid.SPGP0AI00220,0.0,99,0, Identities = 1970/1977 (99%), Gaps = 0/1977 (0%)
parentB.XP_018224064.1,hybrid.SPGP0AI00230,4e-178,99,0, Identities = 338/339 (99%), Gaps = 0/339 (0%)
parentB.XP_018224065.1,hybrid.SPGP0AI00240,0.0,100,0, Identities = 423/423 (100%), Gaps = 0/423 (0%)
parentB.XP_018224066.1,hybrid.SPGP0AI00250,0.0,99,0, Identities = 510/513 (99%), Gaps = 0/513 (0%)
parentB.XP_018224067.1,hybrid.SPGP0AI00260,0.0,99,0, Identities = 2399/2406 (99%), Gaps = 0/2406 (0%)
parentB.XP_018224068.1,hybrid.SPGP0AI00270,0.0,99,0, Identities = 1246/1248 (99%), Gaps = 0/1248 (0%)
parentB.XP_018224069.1,hybrid.SPGP0AI00280,0.0,99,0, Identities = 2547/2559 (99%), Gaps = 0/2559 (0%)
parentB.XP_018224070.1,hybrid.SPGP0AI00290,0.0,99,0, Identities = 1729/1740 (99%), Gaps = 3/1740 (0%)
parentB.XP_018224071.1,hybrid.SPGP0AI00300,0.0,99,0, Identities = 829/831 (99%), Gaps = 0/831 (0%)
parentB.XP_018224072.1,hybrid.SPGP0AI00310,0.0,99,0, Identities = 1501/1503 (99%), Gaps = 0/1503 (0%)
parentB.XP_018224073.1,hybrid.SPGP0AI00320,0.0,99,0, Identities = 797/801 (99%), Gaps = 0/801 (0%)
parentB.XP_018224074.1,hybrid.SPGP0AI00330,0.0,99,0, Identities = 1107/1110 (99%), Gaps = 0/1110 (0%)
parentB.XP_018224075.1,hybrid.SPGP0AI00340,0.0,99,0, Identities = 2948/2958 (99%), Gaps = 0/2958 (0%)
parentB.XP_018224076.1,hybrid.SPGP0AI00350,0.0,99,0, Identities = 862/867 (99%), Gaps = 0/867 (0%)
parentB.XP_018224077.1,hybrid.SPGP0AI00360,0.0,99,0, Identities = 1229/1233 (99%), Gaps = 0/1233 (0%)
parentB.XP_018224078.1,hybrid.SPGP0AI00370,0.0,99,0, Identities = 505/507 (99%), Gaps = 0/507 (0%)
parentB.XP_018224079.1,hybrid.SPGP0AI00380,0.0,99,0, Identities = 1140/1143 (99%), Gaps = 0/1143 (0%)
parentB.XP_018224080.1,hybrid.SPGP0AI00390,0.0,99,0, Identities = 2277/2283 (99%), Gaps = 0/2283 (0%)
parentB.XP_018224081.1,hybrid.SPGP0AI00410,0.0,99,0, Identities = 4401/4416 (99%), Gaps = 0/4416 (0%)
parentB.XP_018224082.1,hybrid.SPGP0AI00420,0.0,99,0, Identities = 1591/1599 (99%), Gaps = 0/1599 (0%)
parentB.XP_018224083.1,hybrid.SPGP0AI00430,0.0,99,0, Identities = 786/789 (99%), Gaps = 0/789 (0%)
parentB.XP_018224084.1,hybrid.SPGP0AI00440,0.0,99,0, Identities = 4049/4068 (99%), Gaps = 0/4068 (0%)
parentB.XP_018224085.1,hybrid.SPGP0AI00450,0.0,99,0, Identities = 909/912 (99%), Gaps = 0/912 (0%)
parentB.XP_018224086.1,hybrid.SPGP0AI00460,0.0,99,0, Identities = 4308/4323 (99%), Gaps = 0/4323 (0%)
parentB.XP_018224087.1,hybrid.SPGP0AI00470,0.0,99,0, Identities = 2269/2280 (99%), Gaps = 0/2280 (0%)
parentB.XP_018224088.1,hybrid.SPGP0AI00480,0.0,99,0, Identities = 1572/1587 (99%), Gaps = 3/1587 (0%)
parentB.XP_018224089.1,hybrid.SPGP0AI00490,0.0,99,0, Identities = 2493/2505 (99%), Gaps = 0/2505 (0%)
parentB.XP_018224090.1,hybrid.SPGP0AI00500,0.0,99,0, Identities = 1010/1014 (99%), Gaps = 0/1014 (0%)
parentB.XP_018224091.1,hybrid.SPGP0AI00510,0.0,99,0, Identities = 3362/3381 (99%), Gaps = 6/3381 (0%)
parentB.XP_018224092.1,hybrid.SPGP0AI00520,0.0,99,0, Identities = 978/984 (99%), Gaps = 0/984 (0%)
parentB.XP_018224093.1,hybrid.SPGP0AI00530,0.0,99,0, Identities = 4042/4053 (99%), Gaps = 0/4053 (0%)
parentB.XP_018224094.1,hybrid.SPGP0AI00540,0.0,99,0, Identities = 1887/1896 (99%), Gaps = 0/1896 (0%)
parentB.XP_018224095.1,hybrid.SPGP0AI00550,0.0,99,0, Identities = 1182/1191 (99%), Gaps = 2/1191 (0%)
parentB.XP_018224096.1,hybrid.SPGP0AI00560,0.0,99,0, Identities = 753/756 (99%), Gaps = 0/756 (0%)
parentB.XP_018224097.1,hybrid.SPGP0AI00580,0.0,99,0, Identities = 1178/1185 (99%), Gaps = 0/1185 (0%)
parentB.XP_018224098.1,hybrid.SPGP0AI00590,0.0,99,0, Identities = 1906/1914 (99%), Gaps = 0/1914 (0%)
parentB.XP_018224099.1,hybrid.SPGP0AI00600,0.0,99,0, Identities = 1478/1482 (99%), Gaps = 0/1482 (0%)
parentB.XP_018224100.1,hybrid.SPGP0AI00610,0.0,99,0, Identities = 778/780 (99%), Gaps = 0/780 (0%)
parentB.XP_018224101.1,hybrid.SPGP0AI00620,0.0,99,0, Identities = 605/606 (99%), Gaps = 0/606 (0%)
parentB.XP_018224102.1,hybrid.SPGP0AI00630,0.0,99,0, Identities = 646/648 (99%), Gaps = 0/648 (0%)
parentB.XP_018224103.1,hybrid.SPGP0AI00640,0.0,98,0, Identities = 1907/1938 (98%), Gaps = 0/1938 (0%)
parentB.XP_018224104.1,hybrid.SPGP0AI00650,0.0,100,0, Identities = 548/548 (100%), Gaps = 0/548 (0%)
parentB.XP_018224105.1,hybrid.SPGP0AI00660,0.0,99,0, Identities = 3812/3819 (99%), Gaps = 0/3819 (0%)
parentB.XP_018224106.1,hybrid.SPGP0AI00670,0.0,99,0, Identities = 3403/3419 (99%), Gaps = 0/3419 (0%)
parentB.XP_018224107.1,hybrid.SPGP0AI00680,0.0,99,0, Identities = 1615/1629 (99%), Gaps = 0/1629 (0%)
parentB.XP_018224108.1,hybrid.SPGP0AI00690,0.0,99,0, Identities = 659/660 (99%), Gaps = 0/660 (0%)
parentB.XP_018224109.1,hybrid.SPGP0AI00700,0.0,99,0, Identities = 1279/1287 (99%), Gaps = 0/1287 (0%)
parentB.XP_018224110.1,hybrid.SPGP0AI00710,0.0,99,0, Identities = 1861/1866 (99%), Gaps = 0/1866 (0%)
parentB.XP_018224111.1,hybrid.SPGP0AI00720,0.0,99,0, Identities = 900/903 (99%), Gaps = 0/903 (0%)
parentB.XP_018224113.1,hybrid.SPGP0AI00730,0.0,99,0, Identities = 740/747 (99%), Gaps = 0/747 (0%)
parentB.XP_018224114.1,hybrid.SPGP0AI00740,0.0,99,1, Identities = 574/582 (99%), Gaps = 3/582 (1%)
parentB.XP_018224115.1,hybrid.SPGP0AI00750,0.0,99,1, Identities = 2168/2193 (99%), Gaps = 12/2193 (1%)
parentB.XP_018224116.1,hybrid.SPGP0AI00760,0.0,99,0, Identities = 919/921 (99%), Gaps = 0/921 (0%)
parentB.XP_018224117.1,hybrid.SPGP0AI00770,0.0,99,0, Identities = 1315/1317 (99%), Gaps = 0/1317 (0%)
parentB.XP_018224118.1,hybrid.SPGP0AI00780,0.0,99,0, Identities = 2918/2925 (99%), Gaps = 0/2925 (0%)
parentB.XP_018224119.1,hybrid.SPGP0AI00790,0.0,98,0, Identities = 581/594 (98%), Gaps = 0/594 (0%)
parentB.XP_018224121.1,hybrid.SPGP0AI00830,0.0,94,1, Identities = 693/737 (94%), Gaps = 5/737 (1%)
parentB.XP_018224122.1,hybrid.SPGP0AI00850,0.0,99,0, Identities = 3453/3471 (99%), Gaps = 0/3471 (0%)
parentB.XP_018224123.1,hybrid.SPGP0AI00860,0.0,99,0, Identities = 429/433 (99%), Gaps = 0/433 (0%)
parentB.XP_018223461.1,hybrid.SPGP0N03360,0.0,83,1, Identities = 1475/1777 (83%), Gaps = 14/1777 (1%)
parentB.XP_018223462.1,hybrid.SPGP0B00100,0.0,86,0, Identities = 1541/1784 (86%), Gaps = 7/1784 (0%)
parentB.XP_018223463.1,hybrid.SPGP0H03950,2e-103,99,0, Identities = 205/207 (99%), Gaps = 0/207 (0%)
parentB.XP_018223464.1,hybrid.SPGP0B00140,0.0,100,0, Identities = 591/591 (100%), Gaps = 0/591 (0%)
parentB.XP_018223465.1,hybrid.SPGP0B00150,0.0,99,0, Identities = 3017/3033 (99%), Gaps = 0/3033 (0%)
parentB.XP_018223466.1,hybrid.SPGP0B00160,0.0,99,0, Identities = 1757/1773 (99%), Gaps = 0/1773 (0%)
parentB.XP_018223467.1,hybrid.SPGP0B00170,0.0,99,0, Identities = 3099/3117 (99%), Gaps = 0/3117 (0%)
parentB.XP_018223468.1,hybrid.SPGP0B00180,0.0,99,0, Identities = 1446/1452 (99%), Gaps = 0/1452 (0%)
parentB.XP_018223469.1,hybrid.SPGP0B00190,0.0,99,0, Identities = 645/648 (99%), Gaps = 0/648 (0%)
parentB.XP_018223470.1,hybrid.SPGP0B00200,0.0,99,0, Identities = 3384/3399 (99%), Gaps = 0/3399 (0%)
parentB.XP_018223471.1,hybrid.SPGP0B00210,0.0,99,0, Identities = 1640/1647 (99%), Gaps = 0/1647 (0%)
parentB.XP_018223472.1,hybrid.SPGP0B00220,0.0,99,0, Identities = 1426/1431 (99%), Gaps = 0/1431 (0%)
parentB.XP_018223473.1,hybrid.SPGP0B00230,0.0,99,0, Identities = 2344/2370 (99%), Gaps = 0/2370 (0%)
parentB.XP_018223474.1,hybrid.SPGP0B00240,0.0,98,0, Identities = 952/969 (98%), Gaps = 0/969 (0%)
