hybrid,parentB
SPGP0CV00100,XP_018222858
SPGP0CX00110,XP_018223418
SPGP0CY00100,XP_018222487
SPGP0CY00110,XP_018222596
SPGP0CZ00100,XP_018222854
SPGP0AI00110,XP_018224052
SPGP0L02090,XP_018218969
SPGP0ACtrna7C,DI49_5567
SPGP0DD00100,XP_018223426
SPGP0BF00130,XP_018218768
SPGP0I00140,XP_018223320
SPGP0I00150,XP_018223319
SPGP0I00160,XP_018223318
SPGP0I00180,XP_018223316
SPGP0I00200,XP_018223314
SPGP0I00210,XP_018223313
SPGP0I00250,XP_018223309
SPGP0I00260,XP_018223308
SPGP0I00270,XP_018223307
SPGP0I00320,XP_018223302
SPGP0I00330,XP_018223301
SPGP0I00400,XP_018223294
SPGP0I00410,XP_018223293
SPGP0I00430,XP_018223291
SPGP0I00460,XP_018223288
SPGP0I00500,XP_018223284
SPGP0I00510,XP_018223283
SPGP0I00530,XP_018223281
SPGP0I00580,XP_018223276
SPGP0I00590,XP_018223275
SPGP0I00620,XP_018223272
SPGP0I00650,XP_018223269
SPGP0I00660,XP_018223268
SPGP0I00670,XP_018223266
SPGP0I00680,XP_018223265
SPGP0I00690,XP_018223264
SPGP0I00700,XP_018223263
SPGP0I00720,XP_018223261
SPGP0I00730,XP_018223260
SPGP0I00790,XP_018223255
SPGP0I00820,XP_018223252
SPGP0I00840,XP_018223250
SPGP0I00850,XP_018223249
SPGP0I00860,XP_018223248
SPGP0I00870,XP_018223247
SPGP0I00900,XP_018223244
SPGP0I00910,XP_018223243
SPGP0I00930,XP_018223241
SPGP0Itrna19E,DI49_5287
SPGP0I00960,XP_018223238
SPGP0I00970,XP_018223237
SPGP0I00980,XP_018223236
SPGP0I00990,XP_018223235
SPGP0I01010,XP_018223233
SPGP0I01040,XP_018223230
SPGP0I01060,XP_018223228
SPGP0I01080,XP_018223226
SPGP0I01120,XP_018223222
SPGP0I01130,XP_018223221
SPGP0L02260,XP_018218952
SPGP0I01160,XP_018223218
SPGP0I01200,XP_018223214
SPGP0L02350,XP_018218943
SPGP0I01240,XP_018223210
SPGP0I01290,XP_018223205
SPGP0I01300,XP_018223204
SPGP0I01310,XP_018223203
SPGP0I01320,XP_018223202
SPGP0I01350,XP_018223199
SPGP0I01370,XP_018223197
SPGP0I01420,XP_018223192
SPGP0I01430,XP_018223191
SPGP0I01440,XP_018223190
SPGP0I01470,XP_018223188
SPGP0I01480,XP_018223187
SPGP0I01510,XP_018223184
SPGP0I01530,XP_018223182
SPGP0I01550,XP_018223180
SPGP0I01560,XP_018223179
SPGP0I01580,XP_018223177
SPGP0I01610,XP_018223174
SPGP0I01620,XP_018223173
SPGP0I01650,XP_018223170
SPGP0I01670,XP_018223168
SPGP0I01680,XP_018223167
SPGP0I01700,XP_018223165
SPGP0I01720,XP_018223163
SPGP0I01730,XP_018223162
SPGP0I01740,XP_018223161
SPGP0I01750,XP_018223160
SPGP0I01760,XP_018223159
SPGP0I01780,XP_018223157
SPGP0L00790,XP_018219094
SPGP0L00830,XP_018219090
SPGP0I01830,XP_018223152
SPGP0I01840,XP_018223151
SPGP0I01850,XP_018223149
SPGP0I01920,XP_018223143
SPGP0I01940,XP_018223140
SPGP0I01960,XP_018223138
SPGP0I01990,XP_018223135
SPGP0I02010,XP_018223133
SPGP0I02020,XP_018223132
SPGP0AE01160,XP_018219195
SPGP0I02070,XP_018223129
SPGP0I02120,XP_018223124
SPGP0B00880,XP_018223534
SPGP0I02140,XP_018223123
SPGP0I02150,XP_018223122
SPGP0J02120,XP_018223121
SPGP0Itrna18D,DI49_4675
SPGP0Gtrna34R,DI49_4020
SPGP0I02170,XP_018223120
SPGP0I02180,XP_018223119
SPGP0I02190,XP_018223118
SPGP0I02200,XP_018223117
SPGP0I02230,XP_018223114
SPGP0I02250,XP_018223112
SPGP0I02280,XP_018223109
SPGP0I02290,XP_018223108
SPGP0I02300,XP_018223107
SPGP0I02370,XP_018223100
SPGP0I02390,XP_018223098
SPGP0Itrna15Q,DI49_1374
SPGP0I02410,XP_018223096
SPGP0Itrna24L,DI49_5687
SPGP0I02420,XP_018223095
SPGP0I02430,XP_018223094
SPGP0I02460,XP_018223091
SPGP0I02470,XP_018223090
SPGP0J02440,XP_018223089
SPGP0I02490,XP_018223088
SPGP0I02500,XP_018223087
SPGP0Itrna16V,DI49_1074
SPGP0I02530,XP_018223084
SPGP0I02540,XP_018223083
SPGP0I02550,XP_018223082
SPGP0I02570,XP_018223080
SPGP0I02580,XP_018223079
SPGP0I02590,XP_018223078
SPGP0I02600,XP_018223077
SPGP0B01390,XP_018223586
SPGP0B01380,XP_018223585
SPGP0B01370,XP_018223584
SPGP0B01340,XP_018223581
SPGP0B01320,XP_018223579
SPGP0B01300,XP_018223577
SPGP0B01260,XP_018223573
SPGP0Itrna21T,DI49_2415
SPGP0B01220,XP_018223569
SPGP0B01210,XP_018223568
SPGP0B01180,XP_018223565
SPGP0B01150,XP_018223562
SPGP0B01130,XP_018223560
SPGP0B01110,XP_018223558
SPGP0B01100,XP_018223557
SPGP0B01090,XP_018223556
SPGP0AGtrna41S,DI49_0694
SPGP0B01060,XP_018223553
SPGP0B01040,XP_018223551
SPGP0B01030,XP_018223550
SPGP0B01010,XP_018223548
SPGP0Gtrna40G,DI49_5603
SPGP0Etrna28I,DI49_5614
SPGP0B00990,XP_018223546
SPGP0S00120,XP_018219838
SPGP0B00960,XP_018223542
SPGP0B00940,XP_018223540
SPGP0B00930,XP_018223539
SPGP0B00920,XP_018223538
SPGP0B00860,XP_018223532
SPGP0B00840,XP_018223530
SPGP0B00830,XP_018223529
SPGP0B00790,XP_018223525
SPGP0B00770,XP_018223523
SPGP0B00760,XP_018223522
