hybrid,parentA
SPGP0CX00100,YCR045C
SPGP0CX00110,YCR046C
SPGP0CX00120,YCR047C
SPGP0N03370,YOL158C
SPGP0DA00100,YAL061W
SPGP0AS00140,YPL273W
SPGP0L02090,YPL061W
SPGP0DC00110,YPL060W
SPGP0DD00100,YCR059C
SPGP0DD00110,YCR060W
SPGP0J00100,YBR297W
SPGP0J00110,YBR296C
SPGP0J00120,YBR295W
SPGP0J00130,YBR294W
SPGP0J00140,YBR293W
SPGP0J00150,YBR291C
SPGP0J00160,YBR290W
SPGP0J00170,YBR289W
SPGP0J00180,YBR288C
SPGP0J00190,YBR287W
SPGP0J00200,YBR286W
SPGP0J00210,YBR285W
SPGP0J00220,YBR284W
SPGP0J00230,YBR283C
SPGP0J00240,YBR282W
SPGP0J00250,YBR281C
SPGP0J00260,YBR280C
SPGP0J00270,YBR279W
SPGP0J00280,YBR278W
SPGP0J00290,YBR276C
SPGP0J00300,YBR275C
SPGP0J00310,YBR274W
SPGP0J00320,YBR273C
SPGP0J00330,YBR272C
SPGP0J00340,YBR271W
SPGP0J00350,YBR270C
SPGP0J00360,YBR269C
SPGP0J00370,YBR268W
SPGP0J00380,YBR267W
SPGP0J00390,YBR265W
SPGP0J00400,YBR264C
SPGP0J00410,YBR263W
SPGP0J00420,YBR262C
SPGP0J00430,YBR261C
SPGP0J00440,YBR260C
SPGP0J00450,YBR259W
SPGP0J00460,YBR258C
SPGP0J00470,YBR257W
SPGP0J00480,YBR256C
SPGP0J00490,YBR255C-A
SPGP0J00500,YBR255W
SPGP0J00510,YBR254C
SPGP0J00520,YBR253W
SPGP0J00530,YBR252W
SPGP0J00540,YBR251W
SPGP0J00550,YBR250W
SPGP0J00560,YBR249C
SPGP0J00570,YBR248C
SPGP0J00580,YBR247C
SPGP0J00590,YBR246W
SPGP0J00600,YBR245C
SPGP0J00610,YBR244W
SPGP0J00620,YBR243C
SPGP0J00630,YBR242W
SPGP0J00640,YBR241C
SPGP0J00650,YBR240C
SPGP0J00660,YBR239C
SPGP0J00670,YBR238C
SPGP0J00680,YBR237W
SPGP0J00690,YBR236C
SPGP0J00700,YBR235W
SPGP0J00710,YBR234C
SPGP0J00720,YBR233W-A
SPGP0J00730,YBR233W
SPGP0J00740,YBR231C
SPGP0J00750,YBR230C
SPGP0J00760,YBR229C
SPGP0J00770,YBR228W
SPGP0J00780,YBR227C
SPGP0J00790,YBR225W
SPGP0J00800,YBR223C
SPGP0J00810,YBR222C
SPGP0J00820,YBR221C
SPGP0J00830,YBR220C
SPGP0J00840,YBR218C
SPGP0J00850,YBR217W
SPGP0J00860,YBR216C
SPGP0J00870,YBR215W
SPGP0J00880,YBR214W
SPGP0J00890,YBR213W
SPGP0J00900,YBR212W
SPGP0J00910,YBR211C
SPGP0J00920,YBR210W
SPGP0Atrna16E,YDR278C
SPGP0J00930,YBR208C
SPGP0J00940,YBR207W
SPGP0J00950,YBR205W
SPGP0J00960,YBR204C
SPGP0J00970,YBR203W
SPGP0J00980,YBR202W
SPGP0J00990,YBR201C-A
SPGP0J01000,YBR201W
SPGP0J01010,YBR200W
SPGP0J01020,YBR199W
SPGP0J01030,YBR198C
SPGP0J01040,YBR197C
SPGP0J01050,YBR196C
SPGP0J01060,YBR195C
SPGP0J01070,YBR194W
SPGP0J01080,YBR193C
SPGP0J01090,YBR192W
SPGP0J01100,YBR191W
SPGP0J01110,YBR190W
SPGP0J01130,YBR188C
SPGP0J01140,YBR187W
SPGP0J01150,YBR186W
SPGP0J01160,YBR185C
SPGP0J01170,YBR184W
SPGP0J01180,YBR183W
SPGP0J01190,YBR182C
SPGP0J01200,YBR181C
SPGP0J01210,YBR180W
SPGP0J01220,YBR179C
SPGP0J01230,YBR177C
SPGP0J01240,YBR176W
SPGP0J01250,YBR175W
SPGP0J01260,YBR173C
SPGP0J01270,YBR172C
SPGP0J01280,YBR171W
SPGP0J01290,YBR170C
SPGP0J01300,YBR169C
SPGP0J01310,YBR168W
SPGP0J01320,YBR167C
SPGP0J01330,YBR166C
SPGP0J01340,YBR165W
SPGP0J01350,YBR164C
SPGP0J01360,YBR163W
SPGP0J01370,YBR162W-A
SPGP0J01380,YBR162C
SPGP0J01390,YBR161W
SPGP0J01400,YBR160W
SPGP0J01410,YBR159W
SPGP0J01420,YBR158W
SPGP0J01430,YBR157C
SPGP0J01440,YBR156C
SPGP0J01450,YBR155W
SPGP0J01460,YBR154C
SPGP0J01470,YBR153W
SPGP0J01480,YBR152W
SPGP0J01490,YBR151W
SPGP0J01500,YBR150C
SPGP0J01510,YBR149W
SPGP0J01520,YBR148W
SPGP0J01530,YBR147W
SPGP0J01540,YBR146W
SPGP0J01550,YBR145W
SPGP0J01560,YBR143C
SPGP0J01570,YBR142W
SPGP0J01580,YBR141C
SPGP0J01590,YBR140C
SPGP0J01600,YBR139W
SPGP0J01610,YBR138C
SPGP0J01620,YBR137W
SPGP0J01630,YBR136W
SPGP0J01640,YBR135W
SPGP0J01650,YBR133C
SPGP0J01660,YBR132C
SPGP0J01670,YBR131W
SPGP0J01680,YBR130C
SPGP0J01690,YBR129C
SPGP0J01700,YBR128C
SPGP0J01710,YBR127C
SPGP0J01720,YBR126C
SPGP0J01730,YBR125C
SPGP0I01760,YBR123C
SPGP0J01750,YBR122C
SPGP0J01760,YBR121C
SPGP0J01770,YBR120C
SPGP0J01780,YBR119W
SPGP0AC00660,YPR080W
SPGP0J01800,YBR117C
SPGP0J01810,YBR115C
SPGP0J01820,YBR114W
SPGP0J01830,YBR112C
SPGP0J01840,YBR111W-A
SPGP0J01850,YBR111C
SPGP0J01860,YBR110W
SPGP0J01870,YBR109C
SPGP0J01880,YBR108W
SPGP0J01890,YBR107C
SPGP0J01900,YBR106W
SPGP0J01910,YBR105C
SPGP0J01920,YBR104W
SPGP0J01930,YBR103W
SPGP0J01940,YBR102C
SPGP0J01950,YBR101C
SPGP0J01960,YBR098W
SPGP0J01970,YBR097W
SPGP0J01980,YBR096W
SPGP0J01990,YBR095C
SPGP0J02000,YBR094W
SPGP0J02010,YBR093C
SPGP0J02020,YBR091C
SPGP0J02030,YBR089C-A
SPGP0J02040,YBR088C
SPGP0J02050,YBR087W
SPGP0J02060,YBR086C
SPGP0J02070,YBR085C-A
SPGP0J02080,YBR085W
SPGP0J02090,YBR084C-A
SPGP0J02100,YBR084W
SPGP0J02110,YBR083W
SPGP0J02120,YBR082C
SPGP0Gtrna34R,YGR164W
SPGP0J02130,YBR081C
SPGP0J02140,YBR080C
SPGP0J02150,YBR079C
SPGP0J02160,YBR078W
SPGP0J02170,YBR077C
SPGP0J02180,YBR076W
SPGP0J02190,YBR074W
SPGP0J02200,YBR073W
SPGP0J02210,YBR072W
SPGP0J02220,YBR071W
SPGP0J02230,YBR070C
SPGP0J02240,YBR069C
SPGP0J02250,YBR068C
SPGP0J02260,YBR067C
SPGP0J02270,YBR066C
SPGP0J02280,YBR065C
SPGP0J02290,YBR063C
SPGP0J02300,YBR062C
SPGP0J02310,YBR061C
SPGP0J02320,YBR060C
SPGP0J02330,YBR059C
SPGP0J02340,YBR058C-A
SPGP0J02350,YBR058C
SPGP0J02360,YBR057C
SPGP0J02370,YBR056W
SPGP0J02380,YBR055C
SPGP0J02390,YBR054W
SPGP0J02400,YBR053C
SPGP0J02410,YBR052C
SPGP0J02420,YBR050C
SPGP0J02430,YBR049C
SPGP0J02440,YBR048W
SPGP0J02450,YBR047W
SPGP0J02460,YBR046C
SPGP0J02470,YBR045C
SPGP0J02480,YBR044C
SPGP0J02490,YBR043C
SPGP0J02500,YBR042C
SPGP0J02510,YBR041W
SPGP0J02520,YBR040W
SPGP0J02530,YBR039W
SPGP0J02540,YBR038W
SPGP0J02550,YBR037C
SPGP0J02560,YBR036C
SPGP0J02570,YBR035C
SPGP0J02580,YBR034C
SPGP0J02590,YBR033W
SPGP0B01390,YBR031W
SPGP0J02610,YBR030W
SPGP0J02620,YBR029C
SPGP0J02630,YBR028C
SPGP0J02640,YBR026C
SPGP0J02650,YBR025C
SPGP0J02660,YBR024W
SPGP0J02670,YBR023C
SPGP0J02680,YBR022W
SPGP0J02690,YBR021W
SPGP0J02700,YBR020W
SPGP0J02710,YBR019C
SPGP0J02720,YBR018C
SPGP0J02730,YBR017C
SPGP0J02740,YBR016W
SPGP0J02750,YBR015C
SPGP0J02760,YBR014C
SPGP0J02770,YBR012C
SPGP0J02780,YBR011C
SPGP0J02790,YBR010W
SPGP0J02800,YBR008C
SPGP0J02810,YBR007C
SPGP0J02820,YBR006W
SPGP0J02830,YBR005W
SPGP0J02840,YBR004C
SPGP0J02850,YBR003W
SPGP0J02860,YBR002C
SPGP0J02870,YBR001C
SPGP0J02880,YBL001C
SPGP0J02890,YBL002W
SPGP0J02900,YBL003C
