Sequence,Best Hit,e-value
SPGP0CZ00100,SPGP0N03370,0.0
SPGP0DA00100,SPGP0AI00110,0.0
SPGP0DB00100,SPGP0AS00140,5.24e-176
SPGP0DC00100,SPGP0L02090,1.80e-157
SPGP0DCtrna6C,SPGP0ACtrna7C,3.45e-32
SPGP0DCtrna6C,SPGP0Ytrna4C,3.45e-32
SPGP0DCtrna6C,SPGP0Ltrna1C,3.45e-32
SPGP0DCtrna6C,SPGP0Jtrna3C,3.45e-32
SPGP0DCtrna6C,SPGP0Itrna5C,1.60e-30
SPGP0DCtrna6C,SPGP0Etrna8C,1.60e-30
SPGP0DCtrna6C,SPGP0Ltrna2C,1.60e-30
SPGP0J00100,SPGP0BF00130,4.75e-112
SPGP0J00100,SPGP0HV00100,2.83e-94
SPGP0J00100,SPGP0AD00110,1.66e-85
SPGP0J00110,SPGP0I00140,0.0
SPGP0J00140,SPGP0I00160,0.0
SPGP0J00160,SPGP0I00180,0.0
SPGP0J00180,SPGP0I00200,0.0
SPGP0J00190,SPGP0I00210,0.0
SPGP0J00230,SPGP0I00250,0.0
SPGP0J00240,SPGP0I00260,1.17e-109
SPGP0J00250,SPGP0I00270,0.0
SPGP0J00300,SPGP0I00320,0.0
SPGP0J00310,SPGP0I00330,0.0
SPGP0J00380,SPGP0I00400,0.0
SPGP0J00390,SPGP0I00410,0.0
SPGP0J00410,SPGP0I00430,0.0
SPGP0J00440,SPGP0I00460,0.0
SPGP0J00480,SPGP0I00500,1.43e-145
SPGP0J00490,SPGP0I00510,5.78e-83
SPGP0J00510,SPGP0I00530,8.45e-122
SPGP0J00560,SPGP0I00580,0.0
SPGP0J00570,SPGP0I00590,0.0
SPGP0J00600,SPGP0I00620,0.0
SPGP0J00630,SPGP0I00650,1.83e-149
SPGP0J00640,SPGP0I00660,0.0
SPGP0J00650,SPGP0I00670,0.0
SPGP0J00660,SPGP0I00680,0.0
SPGP0J00670,SPGP0I00690,0.0
SPGP0J00680,SPGP0I00700,0.0
SPGP0J00700,SPGP0I00720,0.0
SPGP0J00710,SPGP0I00730,0.0
SPGP0J00760,SPGP0I00790,0.0
SPGP0J00790,SPGP0I00820,0.0
SPGP0J00810,SPGP0I00840,0.0
SPGP0J00820,SPGP0I00850,0.0
SPGP0J00840,SPGP0I00870,0.0
SPGP0J00840,SPGP0R01550,0.0
SPGP0J00840,SPGP0E03270,0.0
SPGP0J00870,SPGP0I00900,0.0
SPGP0J00880,SPGP0I00910,0.0
SPGP0J00900,SPGP0I00930,0.0
SPGP0Jtrna17E,SPGP0Itrna19E,3.45e-32
SPGP0Jtrna17E,SPGP0Gtrna26E,3.45e-32
SPGP0Jtrna17E,SPGP0Ftrna23E,3.45e-32
SPGP0Jtrna17E,SPGP0Etrna28E,3.45e-32
SPGP0Jtrna17E,SPGP0Etrna27E,3.45e-32
