Homologs_list	parentB-like content	hybrid content	parentA-like content
XP_018222854.1; YOL158C	XP_018222854.1		YOL158C
YAL061W; XP_018224052.1	XP_018224052.1		YAL061W
SPGP0DB00100; YPL273W		SPGP0DB00100	YPL273W
SPGP0DC00100; XP_018218969.1	XP_018218969.1	SPGP0DC00100	
SPGP0DCtrna6C; DI49_5567; SPGP0Ytrna4C; SPGP0Ltrna1C; SPGP0Jtrna3C; DI49_5400; SPGP0Etrna8C; SPGP0Ltrna2C	DI49_5567; DI49_5400	SPGP0DCtrna6C; SPGP0Ytrna4C; SPGP0Ltrna1C; SPGP0Jtrna3C; SPGP0Etrna8C; SPGP0Ltrna2C	
YBR297W; XP_018218768.1; SPGP0HV00100; SPGP0AD00110; YPR196W; SPGP0BF00150	XP_018218768.1	SPGP0HV00100; SPGP0AD00110; SPGP0BF00150	YBR297W; YPR196W
YBR296C; XP_018223320.1	XP_018223320.1		YBR296C
YBR293W; XP_018223318.1	XP_018223318.1		YBR293W
YBR290W; XP_018223316.1	XP_018223316.1		YBR290W
YBR288C; XP_018223314.1	XP_018223314.1		YBR288C
YBR287W; XP_018223313.1	XP_018223313.1		YBR287W
YBR283C; XP_018223309.1	XP_018223309.1		YBR283C
YBR282W; XP_018223308.1	XP_018223308.1		YBR282W
YBR281C; XP_018223307.1	XP_018223307.1		YBR281C
YBR275C; XP_018223302.1	XP_018223302.1		YBR275C
YBR274W; XP_018223301.1	XP_018223301.1		YBR274W
YBR267W; XP_018223294.1	XP_018223294.1		YBR267W
YBR265W; XP_018223293.1	XP_018223293.1		YBR265W
YBR263W; XP_018223291.1	XP_018223291.1		YBR263W
YBR260C; XP_018223288.1	XP_018223288.1		YBR260C
YBR256C; XP_018223284.1	XP_018223284.1		YBR256C
YBR255C-A; XP_018223283.1	XP_018223283.1		YBR255C-A
YBR254C; XP_018223281.1	XP_018223281.1		YBR254C
YBR249C; XP_018223276.1	XP_018223276.1		YBR249C
YBR248C; XP_018223275.1	XP_018223275.1		YBR248C
YBR245C; XP_018223272.1	XP_018223272.1		YBR245C
YBR242W; XP_018223269.1	XP_018223269.1		YBR242W
YBR241C; XP_018223268.1	XP_018223268.1		YBR241C
YBR240C; XP_018223266.1	XP_018223266.1		YBR240C
YBR239C; XP_018223265.1	XP_018223265.1		YBR239C
YBR238C; XP_018223264.1	XP_018223264.1		YBR238C
YBR237W; XP_018223263.1	XP_018223263.1		YBR237W
YBR235W; XP_018223261.1	XP_018223261.1		YBR235W
YBR234C; XP_018223260.1	XP_018223260.1		YBR234C
YBR229C; XP_018223255.1	XP_018223255.1		YBR229C
YBR225W; XP_018223252.1	XP_018223252.1		YBR225W
YBR222C; XP_018223250.1	XP_018223250.1		YBR222C
YBR221C; XP_018223249.1	XP_018223249.1		YBR221C
YBR218C; XP_018223247.1; YGL062W; XP_018222170.1	XP_018223247.1; XP_018222170.1		YBR218C; YGL062W
YBR215W; XP_018223244.1	XP_018223244.1		YBR215W
YBR214W; XP_018223243.1	XP_018223243.1		YBR214W
YBR212W; XP_018223241.1	XP_018223241.1		YBR212W
SPGP0Jtrna17E; DI49_5287; SPGP0Gtrna26E; SPGP0Ftrna23E; SPGP0Etrna28E; SPGP0Etrna27E; SPGP0AZtrna22E; SPGP0Ctrna4E; SPGP0AMtrna31E; SPGP0AHtrna18E; SPGP0AGtrna30E; SPGP0AAtrna20E; SPGP0Ztrna21E; SPGP0Wtrna3E; SPGP0Vtrna11E; SPGP0Vtrna10E; SPGP0Ttrna24E; SPGP0Rtrna14E; SPGP0Rtrna13E; SPGP0Qtrna9E; SPGP0Qtrna8E; SPGP0Qtrna7E; SPGP0Ptrna12E; SPGP0Ntrna6E; SPGP0Mtrna25E; SPGP0Ltrna5E; SPGP0Etrna29E; SPGP0Rtrna15E; DI49_2698; SPGP0Wtrna2E; YDR278C	DI49_5287; DI49_2698	SPGP0Jtrna17E; SPGP0Gtrna26E; SPGP0Ftrna23E; SPGP0Etrna28E; SPGP0Etrna27E; SPGP0AZtrna22E; SPGP0Ctrna4E; SPGP0AMtrna31E; SPGP0AHtrna18E; SPGP0AGtrna30E; SPGP0AAtrna20E; SPGP0Ztrna21E; SPGP0Wtrna3E; SPGP0Vtrna11E; SPGP0Vtrna10E; SPGP0Ttrna24E; SPGP0Rtrna14E; SPGP0Rtrna13E; SPGP0Qtrna9E; SPGP0Qtrna8E; SPGP0Qtrna7E; SPGP0Ptrna12E; SPGP0Ntrna6E; SPGP0Mtrna25E; SPGP0Ltrna5E; SPGP0Etrna29E; SPGP0Rtrna15E; SPGP0Wtrna2E	YDR278C
YBR208C; XP_018223238.1	XP_018223238.1		YBR208C
YBR207W; XP_018223237.1	XP_018223237.1		YBR207W
YBR205W; XP_018223236.1	XP_018223236.1		YBR205W
YBR204C; XP_018223235.1	XP_018223235.1		YBR204C
YBR202W; XP_018223233.1; YGL201C	XP_018223233.1		YBR202W; YGL201C
YBR200W; XP_018223230.1	XP_018223230.1		YBR200W
YBR198C; XP_018223228.1	XP_018223228.1		YBR198C
YBR196C; XP_018223226.1	XP_018223226.1		YBR196C
YBR192W; XP_018223222.1	XP_018223222.1		YBR192W
YBR191W; XP_018223221.1; YPL079W; XP_018218953.1	XP_018223221.1; XP_018218953.1		YBR191W; YPL079W
SPGP0J01120; XP_018218952.1; XP_018223220.1	XP_018218952.1; XP_018223220.1	SPGP0J01120	
YBR187W; XP_018223218.1	XP_018223218.1		YBR187W
YBR183W; XP_018223214.1	XP_018223214.1		YBR183W
YBR181C; XP_018218943.1; SPGP0AA01560; SPGP0I01220	XP_018218943.1	SPGP0AA01560; SPGP0I01220	YBR181C
YBR179C; XP_018223210.1	XP_018223210.1		YBR179C
YBR172C; XP_018223205.1	XP_018223205.1		YBR172C
YBR171W; XP_018223204.1	XP_018223204.1		YBR171W
YBR170C; XP_018223203.1	XP_018223203.1		YBR170C
YBR169C; XP_018223202.1	XP_018223202.1		YBR169C
YBR166C; XP_018223199.1	XP_018223199.1		YBR166C
YBR164C; XP_018223197.1	XP_018223197.1		YBR164C
YBR160W; XP_018223192.1	XP_018223192.1		YBR160W
YBR159W; XP_018223191.1	XP_018223191.1		YBR159W
YBR158W; XP_018223190.1	XP_018223190.1		YBR158W
YBR156C; SPGP0I01460		SPGP0I01460	YBR156C
YBR155W; XP_018223188.1	XP_018223188.1		YBR155W
YBR154C; XP_018223187.1	XP_018223187.1		YBR154C
YBR151W; XP_018223184.1	XP_018223184.1		YBR151W
YBR149W; XP_018223182.1	XP_018223182.1		YBR149W
YBR147W; XP_018223180.1	XP_018223180.1		YBR147W
YBR146W; XP_018223179.1	XP_018223179.1		YBR146W
YBR143C; XP_018223177.1; SPGP0M01670	XP_018223177.1	SPGP0M01670	YBR143C
YBR140C; XP_018223174.1	XP_018223174.1		YBR140C
YBR139W; XP_018223173.1	XP_018223173.1		YBR139W
YBR136W; XP_018223170.1	XP_018223170.1		YBR136W
YBR133C; XP_018223168.1	XP_018223168.1		YBR133C
YBR132C; XP_018223167.1	XP_018223167.1		YBR132C
YBR130C; XP_018223165.1	XP_018223165.1		YBR130C
YBR128C; XP_018223163.1	XP_018223163.1		YBR128C
YBR127C; XP_018223162.1	XP_018223162.1		YBR127C
YBR126C; XP_018223161.1	XP_018223161.1		YBR126C
YBR125C; XP_018223160.1	XP_018223160.1		YBR125C
SPGP0J01740; XP_018223159.1	XP_018223159.1	SPGP0J01740	
YBR121C; XP_018223157.1	XP_018223157.1		YBR121C
SPGP0J01790; YPR080W; XP_018219094.1; SPGP0I01810	XP_018219094.1	SPGP0J01790; SPGP0I01810	YPR080W
YBR117C; XP_018219090.1; YPR074C	XP_018219090.1		YBR117C; YPR074C
YBR115C; XP_018223152.1	XP_018223152.1		YBR115C
YBR114W; XP_018223151.1	XP_018223151.1		YBR114W
YBR112C; XP_018223149.1	XP_018223149.1		YBR112C
YBR106W; XP_018223143.1	XP_018223143.1		YBR106W
YBR104W; XP_018223140.1	XP_018223140.1		YBR104W
YBR102C; XP_018223138.1	XP_018223138.1		YBR102C
YBR097W; XP_018223135.1	XP_018223135.1		YBR097W
YBR095C; XP_018223133.1	XP_018223133.1		YBR095C
YBR094W; XP_018223132.1	XP_018223132.1		YBR094W
YBR093C; SPGP0I02040; SPGP0I02030; YAR071W; SPGP0BW00100		SPGP0I02040; SPGP0I02030; SPGP0BW00100	YBR093C; YAR071W
YBR088C; XP_018223129.1	XP_018223129.1		YBR088C
YBR085W; XP_018223124.1	XP_018223124.1		YBR085W
YBR084C-A; XP_018223534.1; SPGP0I02130	XP_018223534.1	SPGP0I02130	YBR084C-A
YBR084W; XP_018223123.1; XP_018222408.1; YGR204W	XP_018223123.1; XP_018222408.1		YBR084W; YGR204W
YBR083W; XP_018223122.1	XP_018223122.1		YBR083W
YBR082C; SPGP0I02160		SPGP0I02160	YBR082C
