Sequence,Best Hit,e-value
YAL005C,YLL024C,0.0
YAL005C,YNL209W,0.0
YAL005C,YDL229W,0.0
YAL017W,YOL045W,8.95e-107
YAL026C,YAL026C-A,2.48e-99
YAL062W,YOR375C,0.0
YAL063C,YAR050W,0.0
YAL063C,YHR211W,0.0
YAL063C,YAR061W,1.89e-173
YAL063C,YAL065C,2.03e-149
YAL063C,YHR213W,6.99e-136
YAL064C-A,YHR213W,5.52e-122
YAL064C-A,YAR061W,9.45e-122
YAL065C,YAR050W,1.60e-115
YAL065C,YHR211W,5.22e-109
YAL067W-A,YKL223W,3.98e-101
YAL067W-A,YIR040C,3.98e-101
YAL067W-A,YJL222W-A,3.46e-90
YAL067W-A,YIL174W,3.46e-90
YAL067W-A,YGL260W,1.70e-58
YAL067W-A,YHL045W,1.62e-45
YAL067W-A,YBL108W,8.57e-38
YAL067W-A,YMR324C,5.27e-24
YAL067W-A,YNR075C-A,8.10e-23
YAL068C,YJL223C,5.04e-180
YAL068C,YIL176C,5.04e-180
YAL068C,YDR542W,5.04e-180
YAL068C,YHL046C,2.35e-178
YAL068C,YGL261C,5.08e-175
YAL068C,YLR461W,2.36e-173
YAL068C,YNR076W,5.12e-170
YAL068C,YLL064C,5.12e-170
YAL068C,YOL161C,5.15e-165
YAL068C,YGR294W,5.15e-165
YAL068C,YBR301W,1.12e-161
YAL068C,YEL049W,5.19e-160
YAL068C,YKL224C,3.44e-107
YAL068C,YFL020C,5.71e-105
YAL068C,YLL025W,7.67e-89
YAL068C,YBL108C-A,1.89e-60
YAL068W-A,YJR162C,5.41e-105
YAL068W-A,YDR543C,4.57e-105
YAL068W-A,YNL337W,1.78e-103
YAL068W-A,YER188C-A,2.13e-103
YAL068W-A,YFL063W,1.56e-96
YAL068W-A,YLL065W,2.55e-93
YAL068W-A,YNR077C,8.41e-92
YAL068W-A,YAL069W,6.69e-54
YAL068W-A,YOL166W-A,1.44e-52
YAL068W-A,YEL074W,2.10e-24
YAL068W-A,YCR108C,1.14e-19
YAL069W,YFL063W,2.64e-84
YAL069W,YJR162C,1.56e-80
YAL069W,YLL065W,7.25e-79
YAL069W,YDR543C,2.89e-67
YAL069W,YER188C-A,1.35e-65
YAL069W,YCR108C,3.85e-64
YAL069W,YNL337W,1.16e-45
YAL069W,YNR077C,5.40e-44
YAR009C,YPL257W-B,0.0
YAR009C,YLR157C-B,0.0
YAR009C,YJR027W,0.0
YAR009C,YER138C,0.0
YAR009C,YML039W,0.0
YAR009C,YOL103W-B,0.0
YAR009C,YPR137C-B,0.0
YAR009C,YDR210C-D,0.0
YAR009C,YGR038C-B,0.0
YAR009C,YDR098C-B,0.0
YAR009C,YDR316W-B,0.0
YAR009C,YPR158W-B,0.0
YAR009C,YML045W,0.0
YAR009C,YLR227W-B,0.0
YAR009C,YPR158C-D,0.0
YAR009C,YDR365W-B,0.0
YAR009C,YMR050C,0.0
YAR009C,YHR214C-B,0.0
YAR009C,YOR142W-B,0.0
YAR009C,YGR027W-B,0.0
YAR009C,YJR029W,0.0
YAR009C,YNL054W-B,0.0
YAR009C,YER160C,0.0
YAR009C,YGR161C-D,0.0
YAR009C,YBR012W-B,0.0
YAR009C,YMR045C,0.0
YAR009C,YBL005W-B,0.0
YAR009C,YLR035C-A,0.0
YAR009C,YNL284C-B,0.0
YAR009C,YDR261C-D,0.0
YAR009C,YGR161W-B,0.0
YAR009C,YFL002W-A,0.0
YAR009C,YCL019W,0.0
YAR009C,YOR343W-B,0.0
YAR009C,YDR034C-D,0.0
YAR009C,YLR410W-B,0.0
YAR009C,YBL100W-B,0.0
YAR009C,YDR210W-B,0.0
YAR009C,YOR192C-B,0.0
YAR009C,YDR261W-B,0.0
YAR010C,YPR137C-B,0.0
YAR010C,YPR137C-A,0.0
YAR010C,YJR029W,0.0
YAR010C,YJR028W,0.0
YAR010C,YGR027W-B,0.0
YAR010C,YGR027W-A,0.0
YAR010C,YDR261C-D,0.0
YAR010C,YDR261C-C,0.0
YAR010C,YPL257W-B,0.0
YAR010C,YPL257W-A,0.0
YAR010C,YLR157C-B,0.0
YAR010C,YLR157C-A,0.0
YAR010C,YER138C,0.0
YAR010C,YER137C-A,0.0
YAR010C,YDR365W-B,0.0
YAR010C,YDR365W-A,0.0
YAR010C,YNL054W-B,0.0
YAR010C,YNL054W-A,0.0
YAR010C,YML040W,0.0
YAR010C,YML039W,0.0
YAR010C,YLR227W-B,0.0
YAR010C,YLR227W-A,0.0
YAR010C,YJR027W,0.0
YAR010C,YJR026W,0.0
YAR010C,YLR256W-A,0.0
YAR010C,YPR158C-D,0.0
YAR010C,YPR158C-C,0.0
YAR010C,YGR038C-B,0.0
YAR010C,YGR038C-A,0.0
