Sequence,Best Hit,e-value,Identities,Gaps,Identities_info,Gaps_info
parentA.YAL001C,hybrid.SPGP0AJ00300,0.0,99,0, Identities = 3096/3102 (99%), Gaps = 0/3102 (0%)
parentA.YAL002W,hybrid.SPGP0AJ00310,0.0,99,0, Identities = 3816/3825 (99%), Gaps = 0/3825 (0%)
parentA.YAL003W,hybrid.SPGP0AI00650,0.0,88,4, Identities = 876/997 (88%), Gaps = 37/997 (4%)
parentA.YAL004W,hybrid.SPGP0U00430,0.0,96,0, Identities = 619/648 (96%), Gaps = 0/648 (0%)
parentA.YAL005C,hybrid.SPGP0U00430,0.0,95,1, Identities = 1838/1931 (95%), Gaps = 13/1931 (1%)
parentA.YAL007C,hybrid.SPGP0AJ00330,0.0,100,0, Identities = 648/648 (100%), Gaps = 0/648 (0%)
parentA.YAL008W,hybrid.SPGP0AJ00340,0.0,99,0, Identities = 591/597 (99%), Gaps = 0/597 (0%)
parentA.YAL009W,hybrid.SPGP0AJ00350,0.0,99,0, Identities = 776/780 (99%), Gaps = 0/780 (0%)
parentA.YAL010C,hybrid.SPGP0AJ00360,0.0,99,0, Identities = 1479/1482 (99%), Gaps = 0/1482 (0%)
parentA.YAL011W,hybrid.SPGP0AJ00370,0.0,99,0, Identities = 1867/1878 (99%), Gaps = 0/1878 (0%)
parentA.YAL012W,hybrid.SPGP0AJ00380,0.0,99,0, Identities = 1181/1185 (99%), Gaps = 0/1185 (0%)
parentA.YAL013W,hybrid.SPGP0AJ00390,0.0,99,0, Identities = 1210/1218 (99%), Gaps = 0/1218 (0%)
parentA.YAL014C,hybrid.SPGP0AJ00400,0.0,99,0, Identities = 765/768 (99%), Gaps = 0/768 (0%)
parentA.YAL015C,hybrid.SPGP0AJ00410,0.0,100,0, Identities = 1173/1173 (100%), Gaps = 0/1173 (0%)
parentA.YAL016C-A,hybrid.SPGP0AJ00420,1e-97,100,0, Identities = 191/191 (100%), Gaps = 0/191 (0%)
parentA.YAL016W,hybrid.SPGP0AJ00420,0.0,99,0, Identities = 1906/1908 (99%), Gaps = 0/1908 (0%)
parentA.YAL017W,hybrid.SPGP0AJ00430,0.0,99,0, Identities = 3464/3481 (99%), Gaps = 0/3481 (0%)
parentA.YAL018C,hybrid.SPGP0AJ00440,0.0,99,0, Identities = 974/978 (99%), Gaps = 0/978 (0%)
parentA.YAL019W,hybrid.SPGP0AJ00450,0.0,99,0, Identities = 3373/3396 (99%), Gaps = 0/3396 (0%)
parentA.YAL019W-A,hybrid.SPGP0AJ00460,0.0,99,0, Identities = 363/366 (99%), Gaps = 0/366 (0%)
parentA.YAL020C,hybrid.SPGP0AJ00460,0.0,99,0, Identities = 995/1002 (99%), Gaps = 0/1002 (0%)
parentA.YAL021C,hybrid.SPGP0AJ00470,0.0,99,0, Identities = 2504/2523 (99%), Gaps = 9/2523 (0%)
parentA.YAL022C,hybrid.SPGP0AJ00480,0.0,99,0, Identities = 1550/1554 (99%), Gaps = 0/1554 (0%)
parentA.YAL023C,hybrid.SPGP0AJ00490,0.0,99,0, Identities = 2277/2280 (99%), Gaps = 0/2280 (0%)
parentA.YAL024C,hybrid.SPGP0AJ00500,0.0,99,0, Identities = 4307/4308 (99%), Gaps = 0/4308 (0%)
parentA.YAL025C,hybrid.SPGP0AJ00510,0.0,100,0, Identities = 921/921 (100%), Gaps = 0/921 (0%)
parentA.YAL026C,hybrid.SPGP0AJ00520,0.0,99,0, Identities = 4064/4068 (99%), Gaps = 0/4068 (0%)
parentA.YAL026C-A,hybrid.SPGP0AJ00520,2e-97,99,0, Identities = 193/194 (99%), Gaps = 0/194 (0%)
parentA.YAL027W,hybrid.SPGP0AJ00530,0.0,99,0, Identities = 497/499 (99%), Gaps = 0/499 (0%)
parentA.YAL029C,hybrid.SPGP0AJ00540,0.0,99,0, Identities = 3365/3375 (99%), Gaps = 0/3375 (0%)
parentA.YAL030W,hybrid.SPGP0AJ00550,0.0,99,0, Identities = 464/467 (99%), Gaps = 0/467 (0%)
parentA.YAL031C,hybrid.SPGP0AJ00560,0.0,99,0, Identities = 2278/2283 (99%), Gaps = 0/2283 (0%)
parentA.YAL031W-A,hybrid.SPGP0AJ00560,2e-115,99,0, Identities = 227/229 (99%), Gaps = 0/229 (0%)
parentA.YAL032C,hybrid.SPGP0AJ00570,0.0,99,0, Identities = 1139/1140 (99%), Gaps = 0/1140 (0%)
parentA.YAL033W,hybrid.SPGP0AJ00580,0.0,99,0, Identities = 521/522 (99%), Gaps = 0/522 (0%)
parentA.YAL034C,hybrid.SPGP0AJ00590,0.0,99,0, Identities = 1239/1242 (99%), Gaps = 0/1242 (0%)
parentA.YAL034C-B,hybrid.SPGP0AJ00600,8e-61,100,0, Identities = 125/125 (100%), Gaps = 0/125 (0%)
parentA.YAL034W-A,hybrid.SPGP0AJ00600,0.0,99,0, Identities = 867/870 (99%), Gaps = 0/870 (0%)
